date,open,high,low,close,adj_close,volume,rsi,macd,macd_signal,macd_hist,sma_20,ema_20,bb_upper,bb_middle,bb_lower,atr,returns,volatility,day_of_week,day_of_month,month,week_of_year
2011-07-26,203.03900146484375,203.4733123779297,198.73020935058594,199.21023559570312,180.08795166015625,20462017,48.20176924840932,-1.1268471463454546,-2.002689182816917,0.8758420364714623,198.38219757080077,199.44652555708907,204.2809004189321,198.38219757080077,192.48349472266943,4.361421637194369,-0.012856102656465085,0.016768462104271884,1,26,7,30
2011-07-27,200.01028442382812,200.01028442382812,196.38723754882812,196.7758331298828,177.8872528076172,13675826,44.79823199062886,-1.227555563486618,-1.847662458950857,0.620106895464239,198.10332641601562,199.19217389735513,203.74653815952908,198.10332641601562,192.46011467250216,4.308680582751914,-0.012220267992458678,0.016535349680765143,2,27,7,30
2011-07-28,195.43861389160156,195.43861389160156,190.501220703125,191.4041290283203,173.0311737060547,31299376,38.3614737348382,-1.72098094042002,-1.8223261552446899,0.10134521482466985,197.4044334411621,198.45045533839945,202.72158473939504,197.4044334411621,192.08728214292915,4.449104285895193,-0.027298596662613916,0.017061734377815947,3,28,7,30
2011-07-29,192.00987243652344,193.66709899902344,188.1582489013672,189.2554473876953,171.0887451171875,21393442,36.125508882607384,-2.259360259031183,-1.9097329760019888,-0.34962728302919444,197.01584243774414,197.57474029547524,203.41278154644334,197.01584243774414,190.61890332904494,4.524800415306697,-0.011225889700148928,0.014691796187037464,4,29,7,30
2011-08-01,191.55270385742188,191.55270385742188,187.74679565429688,189.9183349609375,171.68800354003906,14242019,37.33895312036423,-2.6025398018550163,-2.0482943411725945,-0.5542454606824219,196.58667755126953,196.84555883504308,203.64482942714642,196.58667755126953,189.52852567539264,4.4734509715794335,0.0035026076257886896,0.014583803199459624,0,1,8,31
2011-08-02,189.16400146484375,191.7584228515625,187.0953369140625,191.3927001953125,173.02084350585938,16570663,40.066137646052496,-2.7241409087114903,-2.1834636546803736,-0.5406772540311167,196.4878158569336,196.32623896459253,203.7750928387683,196.4878158569336,189.20053887509889,4.486996326288045,0.007763153750680596,0.013586454690507645,1,2,8,31
2011-08-03,188.98114013671875,191.14125061035156,188.14682006835938,188.59254455566406,170.48948669433594,14085375,36.79106449836712,-3.0117423293976344,-2.349119389623826,-0.6626229397738084,196.16951370239258,195.58969663993267,204.21305115576715,196.16951370239258,188.125976249018,4.398345169192694,-0.014630420265720367,0.01377964907708141,2,3,8,31
2011-08-04,189.26687622070312,190.1011962890625,185.16380310058594,185.68954467773438,167.86509704589844,13737415,33.714215949424414,-3.4343275657313654,-2.566161024845334,-0.8681665408860315,195.50262222290038,194.64682502448522,204.62687531735764,195.50262222290038,186.37836912844313,4.436848599141541,-0.015392972637223501,0.013050961095328086,3,4,8,31
2011-08-05,182.75225830078125,182.75225830078125,178.06629943847656,181.03787231445312,163.65994262695312,26222826,29.462363943807148,-4.09734880761377,-2.8723985813990214,-1.2249502262147485,194.78429946899413,193.35073429019644,205.87627448810804,194.78429946899413,183.69232444988023,4.664448359149846,-0.025050803863805426,0.013555637442146499,4,5,8,31
2011-08-08,177.54055786132812,182.04364013671875,175.32330322265625,178.44345092773438,161.3145751953125,22242669,27.387749028217897,-4.777078850677384,-3.253334635254694,-1.5237442154226901,193.95397033691407,191.930993017581,207.1321594098324,193.95397033691407,180.77578126399573,4.811297541643607,-0.014330821245028602,0.013749792835688342,0,8,8,32
2011-08-09,172.12313842773438,178.06629943847656,172.12313842773438,174.93470764160156,158.14263916015625,32649029,24.84020954660012,-5.535090983017881,-3.7096859048073316,-1.825405078210549,193.01163635253906,190.3122991722496,208.5825453691924,193.01163635253906,177.44072733588573,4.919084324383349,-0.019663054418028403,0.014172506878146324,1,9,8,32
